"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBXL22",-0.128038093416994,4.24221976942441,-1.69033004347026,0.0953296737915686,0.228865979363338,-5.41247583035506
"XLOC_004412",0.0876912618146555,1.98340864659372,1.69019690492202,0.095355254234047,0.228908692323981,-5.41269255109983
"PNKP",-0.0872787382852671,6.74645616731309,-1.69015145215511,0.0953639885413567,0.228910960977978,-5.41276653476412
"NPIP",-0.110593269286483,5.66679789606951,-1.68989923051496,0.0954124679153782,0.229008625212115,-5.41317704367786
"C5orf34",0.226136265532867,2.48836598635452,1.6895226224306,0.0954848930444317,0.229163743306636,-5.41378989535057
"XLOC_001868",0.291668590571929,5.81508894746642,1.68923790481483,0.0955396766407826,0.229225878188083,-5.41425313070646
"XLOC_011984",-0.156532839465463,4.89624762851617,-1.68923461699961,0.0955403094118446,0.229225878188083,-5.41425847955901
"LOC100506559",-0.102308026943162,1.50945382526134,-1.68917366468809,0.0955520408799094,0.229225878188083,-5.41435763939222
"ALPK2",-0.286807389297299,2.46753111905225,-1.68916820442294,0.0955530918725307,0.229225878188083,-5.4143665222246
"XLOC_009358",-0.195063630674707,1.94048169536103,-1.6891523803212,0.0955561377512941,0.229225878188083,-5.41439226493542
"VPS13C",-0.114687616002111,5.63981528487282,-1.68914487478097,0.0955575824718322,0.229225878188083,-5.41440447489997
